Player,School,POS,REC,YDS,AVG,LNG,TD
RJ Maryland,SMU,TE,25,355,14.2,62,6
Mark Redman,SDSU,TE,32,353,11.0,29,3
Taj Davis,CAL,WR,32,351,11.0,27,3
Germie Bernard,WASH,WR,27,351,13.0,36,1
Trent Hudson,NMSU,WR,21,351,16.7,78,7
Jermaine Brown Jr.,UAB,RB,35,349,10.0,55,1
Jaden Bray,OKST,WR,27,349,12.9,45,1
Zavion Thomas,MSST,WR,31,349,11.3,32,1
Jack Hestera,CLT,WR,28,349,12.5,37,3
Kyren Lacy,LSU,WR,18,347,19.3,57,4
Terrance Ferguson,ORE,TE,33,347,10.5,33,3
Chris Parker,CMU,WR,22,347,15.8,56,2
Darius Lassiter,BYU,WR,28,347,12.4,47,4
Michael Brown-Stephens,USF,WR,26,344,13.2,38,2
Emeka Egbuka,OSU,WR,27,344,12.7,28,3
Wyatt Wieland,WYO,WR,34,342,10.1,29,4
Colin Weber,CLT,TE,30,342,11.4,45,0
Reymello Murphy,ODU,WR,19,340,17.9,61,2
Trey Cleveland,UNT,WR,21,339,16.1,33,3
Mason Fairchild,KU,TE,23,337,14.7,44,2
Khafre Brown,USF,WR,19,337,17.7,84,4
Kyle Maxwell,LT,WR,16,336,21.0,47,2
Qian Magwood,BALL,WR,37,335,9.1,32,1
Marlyn Johnson,BUFF,WR,35,335,9.6,36,4
Trell Harris,KENT,WR,20,335,16.8,43,1
Corey Crooms Jr.,MINN,WR,26,334,12.8,30,0
D.J. Washington,UNM,WR,27,333,12.3,35,3
Joe Wilkins Jr.,M-OH,WR,24,332,13.8,49,1
Mekhi Shaw,SDSU,WR,24,332,13.8,69,2
Jared Roznos,AFA,WR,11,332,30.2,84,2
Dante Wright,TEM,WR,27,331,12.3,36,3
JaQuae Jackson,RUTG,WR,20,331,16.5,61,1
Abdur-Rahmaan Yaseen,PUR,WR,25,329,13.2,30,0
Bucky Irving,ORE,RB,40,329,8.2,42,1
Tyson Davis,CMU,WR,22,328,14.9,67,3
Gavin Bartholomew,PITT,TE,18,326,18.1,60,1
Marquis Johnson,MIZ,WR,11,324,29.5,76,3
Jordan Hudson,SMU,WR,23,322,14.0,67,5
Dashaun Davis,APP,WR,24,320,13.3,57,3
Romello Brinson,SMU,WR,20,320,16.0,74,2
Jordan Kerley,SMU,WR,18,319,17.7,59,2
Kacper Rutkiewicz,NIU,WR,21,319,15.2,64,2
Makai Jackson,APP,WR,15,316,21.1,67,2
Eric Rivers,FIU,WR,26,314,12.1,48,0
Robert Williams,UL,WR,24,313,13.0,60,3
Jalin Conyers,ASU,TE,25,313,12.5,50,0
Jalen McMillan,WASH,WR,20,311,15.6,39,3
Hudson Clement,WVU,WR,13,311,23.9,70,4
Koby Drake,MEM,WR,28,309,11.0,24,2
Blair Conwright,UNT,WR,21,308,14.7,43,2
Kole Taylor,WVU,TE,26,308,11.8,43,4
JB Mitchell III,EMU,WR,26,308,11.8,50,1
Noah Thomas,TA&M,WR,23,308,13.4,34,4
Wesley Grimes,WAKE,WR,17,308,18.1,49,2
Anthony Torres,TOL,TE,18,307,17.1,36,2
Joseph Griffin Jr.,BC,WR,24,307,12.8,35,1
Chris Bell,LOU,WR,19,307,16.2,48,2
Blake Bosma,WMU,TE,17,307,18.1,58,2
Tony Johnson,FAU,WR,31,306,9.9,72,3
Devonte Ross,TROY,WR,29,306,10.6,38,3
Rivaldo Fairweather,AUB,TE,30,305,10.2,53,5
Donovan Brown,SYR,WR,23,305,13.3,86,1
Tyler Walton,OHIO,WR,32,304,9.5,27,2
Christian Leary,GT,WR,22,304,13.8,44,2
Al'vonte Woodard,SHSU,WR,27,303,11.2,26,2
Jared Wiley,TCU,TE,32,303,9.5,46,4
Jack Endries,CAL,TE,26,303,11.7,30,2
Jaylon Robinson,TCU,WR,26,301,11.6,29,1
Mark Pope,MASS,WR,24,301,12.5,54,1
Mario Williams,USC,WR,28,301,10.8,29,2
Jay Fair,AUB,WR,30,300,10.0,36,2
Lorenzo Lingard,AKR,RB,29,299,10.3,77,1
Erick All,IOWA,TE,21,299,14.2,34,3
DeQuece Carter,IU,WR,19,298,15.7,90,2
Landon Ransom-Goelz,RICE,WR,19,297,15.6,44,3
Luke Grimm,KU,WR,23,295,12.8,48,3
Dalton Stroman,APP,WR,15,295,19.7,77,3
Jameson Tucker,CCU,WR,14,294,21.0,51,2
