Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jaylon King,GT,DB,29,25,54,0.0,17,7,4,66,0,0
Beanie Bishop Jr.,WVU,CB,43,11,54,0.0,10,19,4,51,0,0
Howard Cross III,ND,DL,24,30,54,1.0,0,2,0,0,0,2
Jamal Potts,FIU,DB,32,22,54,0.5,24,1,0,0,0,2
Zach Zimos,LT,LB,23,31,54,1.0,22,0,0,0,0,0
Juan Powell,CCU,CB,31,23,54,0.0,12,6,0,0,0,1
Tyrone Lewis Jr.,UL,S,26,28,54,0.5,0,2,3,0,0,0
Austin Moore,KSU,LB,33,21,54,1.5,0,0,0,0,0,0
Malachi Langley,FRES,LB,22,32,54,1.0,0,0,0,0,0,0
Aaron Beasley,TENN,LB,30,24,54,2.0,20,3,1,39,1,0
Jayden Goodwin,AFA,S,19,35,54,1.0,10,4,0,0,0,0
Dalton Johnson,ARIZ,S,31,23,54,1.0,0,1,0,0,0,3
Trevin Wallace,UK,LB,31,23,54,4.5,8,0,1,21,0,1
Francisco Mauigoa,MIA,LB,32,22,54,6.5,0,1,1,2,0,2
Jakobe Thomas,MTSU,S,38,16,54,0.0,30,4,0,0,0,1
Jordan Castell,FLA,S,24,30,54,0.0,6,2,1,-1,0,0
Karene Reid,UTAH,LB,21,33,54,0.0,27,4,1,21,1,0
Jaren Kanak,OU,LB,22,32,54,2.0,11,2,0,0,0,1
Ethan Wesloski,UNT,LB,32,22,54,2.0,45,0,0,0,0,1
Kamren Robinson,UVA,LB,36,18,54,1.0,45,0,2,28,1,0
Alan Tisdale,VT,LB,19,34,53,1.0,0,2,0,0,0,0
Ja'Terious Evans,ULM,LB,23,30,53,0.0,1,1,3,76,1,0
Tre Jenkins,SJSU,S,34,19,53,0.0,12,3,1,6,0,0
Joseph Charleston,MIZ,DB,35,18,53,0.0,9,4,0,0,0,1
Jamal Morris,HOU,LB,30,23,53,0.0,0,5,0,0,0,0
Tysheem Johnson,ORE,DB,28,25,53,1.0,14,4,2,0,0,0
Jesiah Pierre,TTU,LB,28,25,53,0.5,0,0,0,0,0,0
Wesley Walker,TENN,DB,33,20,53,1.0,6,2,0,0,0,1
Devin Nicholson,KENT,LB,33,20,53,0.0,0,1,0,0,0,0
Dorian Mausi,DUKE,LB,9,44,53,0.5,6,2,1,0,0,0
Kobe Wilson,SMU,LB,29,24,53,0.0,0,1,1,0,0,1
Marco Notarainni,BOIS,LB,29,24,53,3.0,18,1,0,0,0,1
Alijah Clark,SYR,DB,28,25,53,0.0,0,3,0,0,0,1
Isaac White,WYO,S,25,28,53,0.0,6,7,0,0,0,0
John Saunders Jr.,MISS,S,32,21,53,0.0,0,4,3,10,0,0
Jakob Robinson,BYU,CB,34,19,53,0.0,23,4,4,42,1,0
Tui Faumuina-Brown,CONN,LB,27,26,53,1.0,0,0,1,0,0,0
Cole Bishop,UTAH,S,31,22,53,2.0,0,3,2,9,0,1
CJ Nunnally IV,AKR,DL,31,22,53,7.0,49,2,0,0,0,1
Kyle Efford,GT,LB,21,32,53,1.0,12,0,0,0,0,0
Xavier Scott,ILL,DB,45,8,53,0.0,6,10,2,0,0,1
Kalib Fortner,ARMY,LB,22,31,53,1.5,0,0,0,0,0,0
Jalen Smith,HAW,LB,31,22,53,1.5,0,1,0,0,0,1
Cam'Ron Kelly,LOU,DB,24,28,52,0.0,4,1,2,0,0,2
Jack Kiser,ND,LB,36,16,52,1.0,25,0,0,0,0,1
Dell Pettus,TROY,S,30,22,52,0.0,24,4,0,0,0,0
Junior Colson,MICH,LB,18,34,52,0.0,0,0,0,0,0,0
Gunner Maldonado,ARIZ,S,38,14,52,0.0,0,0,0,0,0,1
Tyreem Powell,RUTG,LB,25,27,52,2.0,47,2,0,0,0,1
Deontae Lawson,ALA,LB,22,30,52,2.0,0,2,0,0,0,0
Angelo Grose,MSU,DB,26,26,52,0.5,35,5,2,2,0,0
Ashanti Cistrunk,MISS,LB,25,27,52,2.5,3,0,1,28,0,0
Quindrelin Hammonds,ARMY,DB,26,26,52,2.5,81,2,2,21,0,0
Adin Huntington,ULM,DL,18,34,52,5.5,0,1,0,0,0,1
Jaelen Stokes,USF,DB,35,17,52,1.0,0,0,2,30,0,1
Derek McDonald,SYR,LB,23,29,52,2.0,0,0,0,0,0,0
Sean Brown,NCSU,S,29,23,52,2.0,0,3,2,33,0,1
CJ Taylor,VAN,LB,27,25,52,3.0,2,3,2,35,0,2
Kip Lewis,OU,LB,29,23,52,0.0,16,0,0,0,0,0
Maverick Baranowski,MINN,LB,23,29,52,1.0,0,2,0,0,0,0
Carl Glass Jr.,ULM,LB,22,30,52,1.5,14,0,0,0,0,2
Kenard Snyder,ULM,DE,17,35,52,4.5,0,2,0,0,0,2
Isaiah Johnson,SYR,DB,31,20,51,0.0,60,5,0,0,0,1
Aaron Brule,MSU,LB,30,21,51,4.0,0,1,0,0,0,0
Tatum Bethune,FSU,LB,26,25,51,0.0,0,2,0,0,0,0
Rod Heard II,NU,DB,36,15,51,1.0,2,2,1,10,0,2
Jacob Wahlberg,WMU,LB,21,30,51,1.0,29,4,0,0,0,0
Devin Neal,LOU,DB,33,18,51,0.0,4,6,4,38,0,0
Quinn Schulte,IOWA,DB,30,21,51,0.0,0,2,1,39,0,0
Rich Miller,KU,LB,36,15,51,2.0,17,0,0,0,0,0
Irshaad Davis,TROY,S,29,22,51,0.0,0,3,1,2,0,0
Jacquez Warren,M-OH,DB,33,18,51,0.0,0,4,0,0,0,0
Corey Ellington,MSST,S,27,24,51,1.0,0,2,0,0,0,1
Donte Kent,CMU,DB,37,14,51,0.0,13,6,0,0,0,0
Andrew Simpson,BOIS,LB,29,22,51,4.5,37,0,1,20,0,0
Alec Marenco,UNM,LB,25,26,51,0.5,0,3,0,0,0,0
Marques Sigle,KSU,S,38,13,51,0.0,17,6,0,0,0,0
Kobe Savage,KSU,S,32,19,51,0.0,8,0,2,7,0,0
Jaylan Ware,ULM,DL,14,37,51,0.0,0,0,0,0,0,0
Simeon Blair,MEM,DB,32,18,50,0.0,0,4,2,41,0,1
Jacob Mangum-Farrar,IU,LB,25,25,50,0.0,4,4,0,0,0,0
Owen Porter,MRSH,DL,22,28,50,5.0,40,2,0,0,0,2
LaVonta Bentley,COLO,LB,32,18,50,3.0,0,2,0,0,0,0
Demani Richardson,TA&M,DB,39,11,50,1.0,11,2,0,0,0,1
Kam Arnold,BC,LB,24,26,50,0.0,0,2,0,0,0,1
LaMiles Brooks,GT,DB,29,21,50,0.0,0,6,1,25,0,0
Solomon DeShields,PITT,LB,25,25,50,2.0,0,0,0,0,0,0
Barrett Carter,CLEM,LB,32,18,50,2.0,0,0,0,0,0,0
Alaka'i Gilman,STAN,S,29,21,50,0.0,0,3,1,0,0,0
Jalen Green,JMU,DL,24,26,50,15.5,8,1,1,24,1,2
Jack Dingle,CIN,LB,26,24,50,1.0,0,1,0,0,0,0
Desmond Igbinosun,RUTG,DB,31,19,50,1.0,29,1,0,0,0,0
Bailey Despanie,TULN,S,36,14,50,0.0,0,2,0,0,0,0
Jayden Johnson,ARK,DB,24,26,50,0.0,0,3,1,0,0,1
Ephesians Prysock,ARIZ,CB,32,18,50,0.0,-1,6,1,0,0,0
Jaden Dolphin,NIU,LB,32,18,50,0.0,48,3,0,0,0,0
Marsel McDuffie,UNLV,LB,26,24,50,1.0,0,2,0,0,0,0
Alfahiym Walcott,ARK,DB,31,19,50,0.0,8,2,1,0,0,0
Richard Toney Jr.,NEV,DB,34,16,50,1.0,0,1,1,43,1,0
Mike Edwards III,ECU,LB,30,20,50,1.0,19,0,0,0,0,0
Christian Ellis,UNM,S,30,20,50,0.0,0,3,0,0,0,0
Jordan Hall,MSU,LB,24,26,50,2.5,12,1,0,0,0,1
Ike Rowell,UAB,S,32,18,50,0.0,0,2,0,0,0,2
Car'lin Vigers,ULM,CB,24,26,50,0.0,2,2,0,0,0,1
Nate Norris,WMU,LB,25,24,49,1.0,0,1,0,0,0,0
Calvin Hart Jr.,ORST,LB,20,29,49,3.5,0,0,0,0,0,1
Walter Reynolds,OHIO,S,17,32,49,0.0,0,1,1,13,0,0
Eyabi Okie-Anoma,CLT,DL,21,28,49,5.0,3,0,0,0,0,1
Bryson Shaw,USC,S,36,13,49,0.0,0,0,0,0,0,0
