Player,School,POS,ATT,YDS,AVG,LNG,TD
John Mateer,WSU,QB,16,79,4.9,15,3
Brandon Buckhaulter,UAB,WR,7,78,11.1,35,0
Miles Davis,BYU,RB,16,78,4.9,13,0
Ethan Garbers,UCLA,QB,24,77,3.2,18,0
Cole Snyder,BUFF,QB,61,77,1.3,22,1
Sam Hartman,ND,QB,41,76,1.9,38,3
Dallan Hayden,OSU,RB,11,76,6.9,19,1
Vaughn Blue,LIB,RB,12,76,6.3,21,0
Vaughn Pemberton,BALL,RB,16,75,4.7,15,0
Asa Martin,TROY,RB,19,74,3.9,16,0
TJ Finley,TXST,QB,60,74,1.2,24,5
Isaiah Newell,ORST,RB,21,74,3.5,11,0
Jalon Daniels,KU,QB,27,74,2.7,17,0
Jacques Badolato-Birdsell,NEV,RB,31,74,2.4,15,1
DJ Riles,MTSU,QB,14,74,5.3,16,0
Matt Jones,MISS,RB,11,74,6.7,36,2
Dante Dowdell,ORE,RB,14,74,5.3,13,1
Ben Wooldridge,UL,QB,17,73,4.3,24,2
Chris Johnson Jr.,MIA,RB,11,73,6.6,24,1
Kevin Davis,M-OH,RB,19,72,3.8,12,1
Terrence Williams,UL,RB,23,72,3.1,11,1
Jalen Mitchell,CONN,RB,18,71,3.9,23,0
Tank Smith,PSU,RB,9,71,7.9,39,0
Jack Lausch,NU,QB,16,71,4.4,46,1
Peyton Jones,DUKE,RB,20,71,3.5,15,1
Stone Earle,UNT,QB,16,70,4.4,34,0
Zachariah Branch,USC,WR,7,70,10.0,21,1
Bryce Duke,VT,RB,11,69,6.3,31,0
Benjamin Hall,MICH,RB,15,69,4.6,19,0
Nate Milanowski,M-OH,RB,11,69,6.3,23,1
Braxton Woodson,NAVY,QB,35,69,2.0,22,0
Lideatrick Griffin,MSST,WR,15,68,4.5,17,1
Trenton Bourguet,ASU,QB,26,68,2.6,17,2
Hunter Herring,ULM,QB,13,68,5.2,18,0
Ari Broussard,RICE,RB,20,67,3.3,16,0
Jarris Williams,TROY,RB,13,67,5.2,25,1
Kamarro Edmonds,ECU,RB,14,67,4.8,17,2
Jaylen Henderson,TA&M,QB,13,67,5.2,22,2
Makhilyn Young,NMSU,RB,11,67,6.1,31,1
Ethan Crawford,USM,QB,17,67,3.9,16,1
Sam Leavitt,MSU,QB,13,67,5.2,22,0
Tony Muskett,UVA,QB,61,66,1.1,20,1
Gio Lopez,USA,QB,11,66,6.0,20,1
Rahmir Johnson,NEB,RB,12,65,5.4,44,0
Ahmani Marshall,APP,RB,20,65,3.3,11,2
Treyson Bourguet,WMU,QB,36,65,1.8,29,0
Marlon Gunn Jr.,ECU,RB,24,65,2.7,13,0
Keyjuan Brown,LOU,RB,11,65,5.9,14,1
Spencer Rattler,SC,QB,80,64,0.8,28,4
Jacolby Criswell,ARK,QB,7,64,9.1,60,0
Taulia Tagovailoa,MD,QB,58,64,1.1,23,4
Nehemiah Martinez I,TTU,WR,12,64,5.3,11,0
Solo Vaipulu,HAW,OL,12,63,5.3,14,0
Grant Wells,VT,QB,15,63,4.2,60,1
Conner Weigman,TA&M,QB,12,63,5.3,19,2
Reggion Bennett,JVST,RB,25,63,2.5,13,0
Juju McDowell,SC,RB,26,63,2.4,17,2
Keshawn King,WMU,RB,14,62,4.4,17,1
Demarkcus Bowman,UCF,RB,10,62,6.2,12,1
Zuberi Mobley,FAU,RB,22,62,2.8,11,0
Chase Gillespie,VAN,RB,22,62,2.8,10,0
Jaylen Jenkins,WSU,RB,20,62,3.1,17,0
Deion Smith,BYU,RB,21,61,2.9,18,1
Jake Strong,TTU,QB,6,61,10.2,54,0
Jack Turner,LT,QB,29,61,2.1,12,2
Phil Jurkovec,PITT,QB,39,60,1.5,23,1
Keyvone Lee,MSST,RB,9,60,6.7,33,0
Creed Whittemore,MSST,WR,4,60,15.0,53,1
Keith Adams Jr.,CLEM,RB,11,60,5.5,14,0
Alton McCaskill,COLO,RB,14,59,4.2,9,0
Charlie Spegal,BALL,RB,11,59,5.4,14,1
Aidan Laughery,ILL,RB,13,59,4.5,19,1
Sam Jackson V,CAL,QB,26,59,2.3,27,1
Gage Larvadain,M-OH,WR,5,59,11.8,46,0
EJ Wilson Jr.,TEM,RB,13,58,4.5,20,0
Kenny Johnson,PITT,WR,9,58,6.4,9,0
Rocky Lombardi,NIU,QB,53,57,1.1,33,4
PaSean Wimberly,BGSU,RB,18,57,3.2,12,0
Conner Harrell,UNC,QB,4,57,14.3,61,1
Nick Mosley,BGSU,RB,8,56,7.0,23,0
Jordan McDonald,UCF,RB,18,56,3.1,10,3
Miles Stewart,ARMY,RB,14,56,4.0,10,0
Carson Hansen,ISU,RB,19,56,2.9,12,0
Larenzo McMillan,NMSU,RB,4,55,13.8,30,0
CJ Harris,OHIO,QB,12,55,4.6,23,0
Ryan Butler,STAN,RB,16,55,3.4,17,0
Joachim Bangda,CLT,RB,16,54,3.4,31,3
Ta'Quan Roberson,CONN,QB,36,54,1.5,24,2
Bryce Farrell,STAN,WR,20,54,2.7,12,3
Jackson Arnold,OU,QB,12,54,4.5,11,1
Ahmad Haston,MASS,QB,16,54,3.4,7,0
David Cordero,HAW,RB,14,54,3.9,19,0
Eugene Wilson III,FLA,WR,5,54,10.8,18,0
Benjamin Yurosek,STAN,TE,11,53,4.8,10,0
Brady Lichtenberg,CIN,QB,9,53,5.9,16,1
Jamal Johnson,BGSU,RB,9,53,5.9,32,0
Noah Kim,MSU,QB,27,53,2.0,14,0
Jack Shields,ODU,QB,22,53,2.4,66,1
Quinn Ewers,TEX,QB,40,53,1.3,30,5
Lee Witherspoon,UAB,RB,16,52,3.3,17,0
Jha'Quan Jackson,TULN,WR,5,51,10.2,24,0
Elijah Davis,UL,RB,13,51,3.9,11,1
Dominique Johnson,ARK,RB,20,50,2.5,13,0
J'Wan Evans,JVST,RB,17,50,2.9,12,4
Brock Lampe,NIU,FB,12,50,4.2,11,1
Seth Anderson,IOWA,WR,3,50,16.7,30,0
Keyvon Walker,FAU,RB,11,50,4.5,20,0
Ty Thompson,ORE,QB,6,49,8.2,13,0
Keilan Robinson,TEX,RB,7,49,7.0,23,0
Keyone Jenkins,FIU,QB,101,49,0.5,23,5
Grayson McCall,CCU,QB,53,48,0.9,12,1
Charlie Vincent,UTAH,RB,9,48,5.3,22,1
Semaj Morgan,MICH,WR,2,48,24.0,44,1
David Mbadinga,GASO,RB,16,48,3.0,12,1
Thad Franklin Jr.,ULM,RB,12,47,3.9,23,1
Kevin Hurley,UTEP,QB,18,47,2.6,18,2
McCae Hillstead,USU,QB,36,47,1.3,18,0
Evan Dickens,GT,RB,11,47,4.3,19,0
Sam Hicks,CMU,RB,11,47,4.3,16,1
Jarrett Guest,CCU,QB,7,46,6.6,33,1
Elijhah Badger,ASU,WR,9,46,5.1,17,1
Jack Salopek,WMU,QB,17,46,2.7,14,0
Ahmari Huggins-Bruce,LOU,WR,5,46,9.2,19,1
Brock Vandagriff,UGA,QB,4,46,11.5,18,0
Brandon Campbell,HOU,RB,18,46,2.6,11,0
Logan Fife,FRES,QB,24,46,1.9,16,0
Micah Bernard,UTAH,RB,7,45,6.4,13,0
