Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Raishein Thomas,NIU,DE,28,31,59,2.0,8,1,0,0,0,0
Alijah Clark,SYR,DB,32,27,59,0.0,0,3,0,0,0,1
Maxwell Hairston,UK,DB,47,12,59,0.0,5,5,5,83,2,1
Cody Moon,SDSU,LB,30,29,59,0.0,15,2,0,0,0,0
Jordan Riley,BALL,DB,37,22,59,0.0,16,7,0,0,0,0
Ethan Wesloski,UNT,LB,35,24,59,3.0,4,0,0,0,0,1
Shilo Sanders,COLO,S,47,11,58,0.0,3,3,1,80,1,3
JT Killen,CCU,LB,20,38,58,0.0,0,0,1,30,1,0
Dell Pettus,TROY,S,34,24,58,0.0,0,4,0,0,0,0
Jamal Morris,HOU,LB,34,24,58,0.0,17,5,0,0,0,0
Lee Hunter,UCF,DT,36,22,58,3.0,11,1,0,0,0,0
Chelen Garnes,WAKE,DB,30,28,58,1.5,45,5,0,0,0,0
Austin Moore,KSU,LB,37,21,58,1.5,23,0,0,0,0,0
Kobe Wilson,SMU,LB,33,25,58,0.0,23,1,1,0,0,1
Quindrelin Hammonds,ARMY,DB,30,28,58,2.5,13,2,3,21,0,0
Trevin Wallace,UK,LB,34,24,58,4.5,37,0,1,21,0,1
Sean Brown,NCSU,S,32,26,58,2.0,22,3,2,33,0,1
CJ Nunnally IV,AKR,DL,32,26,58,7.0,0,2,0,0,0,1
Jordan Castell,FLA,S,28,30,58,0.0,0,2,1,-1,0,0
Jalen Smith,HAW,LB,35,23,58,1.5,0,1,0,0,0,1
Jacob Mangum-Farrar,IU,LB,29,28,57,0.0,3,4,0,0,0,0
Walter Reynolds,OHIO,S,17,40,57,0.0,17,1,1,13,0,0
Joseph Charleston,MIZ,DB,38,19,57,0.0,10,4,0,0,0,1
Omar Speights,LSU,LB,16,41,57,0.0,0,0,0,0,0,0
Ruben Hyppolite II,MD,LB,42,15,57,1.0,14,0,0,0,0,0
Solomon DeShields,PITT,LB,26,31,57,2.0,0,0,0,0,0,0
Logan Wilson,UNT,S,35,22,57,0.0,0,3,1,0,0,0
Kamren Kinchens,MIA,S,40,17,57,1.0,31,5,5,29,1,0
Isaac White,WYO,S,29,28,57,0.0,0,7,0,0,0,0
Tui Faumuina-Brown,CONN,LB,29,28,57,1.0,0,0,1,0,0,0
Jihaad Campbell,ALA,LB,26,31,57,0.5,0,2,1,2,0,0
Ephesians Prysock,ARIZ,CB,36,21,57,0.0,0,6,1,0,0,0
Richard Toney Jr.,NEV,DB,37,20,57,1.0,0,1,2,66,2,0
Miles Scott,ILL,DB,45,12,57,0.0,30,3,1,48,1,0
Kenard Snyder,ULM,DE,22,35,57,5.5,3,2,0,0,0,3
Eyabi Okie-Anoma,CLT,DL,23,33,56,5.5,0,1,0,0,0,1
Tatum Bethune,FSU,LB,29,27,56,0.0,0,2,0,0,0,0
Jack Kiser,ND,LB,39,17,56,1.0,0,0,0,0,0,1
Tykee Smith,UGA,DB,39,17,56,2.0,6,2,4,12,0,0
LaMiles Brooks,GT,DB,33,23,56,0.0,29,6,1,25,0,0
Quinn Schulte,IOWA,DB,32,24,56,0.0,6,3,1,39,0,0
Chris Conti,RICE,LB,25,31,56,0.5,0,0,1,15,0,0
Jacquez Warren,M-OH,DB,36,20,56,0.0,20,4,0,0,0,0
Jaelen Stokes,USF,DB,39,17,56,1.0,10,1,2,30,0,1
Desmond Igbinosun,RUTG,DB,33,23,56,1.0,12,1,0,0,0,0
Myles Rowser,NMSU,S,33,23,56,0.0,0,2,0,0,0,1
Trevor Woods,COLO,S,42,14,56,0.5,0,3,2,0,0,1
Jordan Turner,WIS,LB,29,27,56,3.0,0,2,0,0,0,0
Rayuan Lane III,NAVY,S,34,22,56,0.5,8,7,4,97,1,2
Xavier Scott,ILL,DB,48,8,56,0.0,24,10,2,0,0,1
Kobe Savage,KSU,S,37,19,56,0.0,24,0,3,7,0,0
Kalib Fortner,ARMY,LB,24,32,56,1.5,0,0,0,0,0,0
Simeon Blair,MEM,DB,37,18,55,0.0,0,4,2,41,0,1
Jay Stanley,USM,S,26,29,55,0.0,44,4,3,8,0,3
Jacob Wahlberg,WMU,LB,23,32,55,1.0,9,4,0,0,0,0
Tyrell Davis,GASO,DB,30,25,55,0.0,0,3,1,28,1,0
Ty'Ron Hopper,MIZ,LB,36,19,55,3.0,0,3,0,0,0,0
Jaylen Mahoney,VAN,DB,36,19,55,0.0,44,3,0,0,0,0
Dorian Jones,CIN,LB,24,31,55,1.0,19,2,1,0,0,0
Dorian Mausi,DUKE,LB,10,45,55,0.5,0,2,1,0,0,0
Bryon Threats,CIN,S,35,20,55,1.0,2,6,2,33,0,1
Donte Kent,CMU,DB,38,17,55,0.0,0,7,0,0,0,0
John Saunders Jr.,MISS,S,33,22,55,0.0,0,4,3,10,0,0
Andrew Simpson,BOIS,LB,33,22,55,5.5,0,0,1,20,0,0
Derek McDonald,SYR,LB,25,30,55,2.0,0,0,0,0,0,0
Shemar James,FLA,LB,24,31,55,1.0,0,0,0,0,0,0
Alfahiym Walcott,ARK,DB,33,22,55,0.0,0,2,3,32,1,0
Marques Sigle,KSU,S,42,13,55,0.0,-2,6,1,0,0,0
Jordan Hall,MSU,LB,27,28,55,3.5,6,1,0,0,0,1
Jaren Kanak,OU,LB,22,33,55,2.0,27,2,0,0,0,1
