Player,School,POS,REC,YDS,AVG,LNG,TD
Matthew Golden,HOU,WR,38,404,10.6,39,6
Jordan Hudson,SMU,WR,27,403,14.9,67,7
Moochie Dixon,SMU,WR,21,401,19.1,52,4
Leroy Thomas,WMU,WR,36,401,11.1,41,2
Carl Chester,TLSA,WR,22,401,18.2,57,1
Dariyan Wiley,ULM,WR,24,400,16.7,68,2
Trell Harris,KENT,WR,26,400,15.4,43,1
Taj Davis,CAL,WR,39,399,10.2,27,3
Devan Williams,TLSA,WR,29,399,13.8,42,2
JB Mitchell III,EMU,WR,35,398,11.4,50,1
Jaylon Robinson,TCU,WR,32,397,12.4,29,1
DeMarcus Harris,MRSH,WR,24,396,16.5,65,1
DeQuece Carter,IU,WR,27,395,14.6,90,3
Luke Grimm,KU,WR,29,395,13.6,48,3
Jameson Tucker,CCU,WR,19,395,20.8,51,3
Dean Connors,RICE,RB,42,395,9.4,80,3
Rico Flores Jr.,ND,WR,27,392,14.5,60,1
Javon Harvey,ODU,WR,29,391,13.5,68,4
Hudson Clement,WVU,WR,17,391,23.0,70,4
Phoenix Sproles,JMU,WR,47,387,8.2,32,3
Jordan Whittington,TEX,WR,34,387,11.4,31,1
Blair Conwright,UNT,WR,24,385,16.0,43,2
Jack Endries,CAL,TE,32,385,12.0,32,2
Jayce Brown,KSU,WR,22,385,17.5,46,2
Ke'Shawn Williams,WAKE,WR,38,384,10.1,34,1
Jaden Bray,OKST,WR,29,383,13.2,45,2
Rara Thomas,UGA,WR,23,383,16.7,56,1
Jayden McGowan,VAN,WR,36,383,10.6,50,0
Isiah Paige,ODU,WR,39,382,9.8,26,1
Dashaun Davis,APP,WR,29,381,13.1,57,3
TJ Sheffield,PUR,WR,32,381,11.9,43,2
Chris Bell,LOU,WR,25,381,15.2,48,2
Gary Bryant Jr.,ORE,WR,26,380,14.6,71,3
Odieu Hiliare,BGSU,WR,35,380,10.9,32,3
Terrance Ferguson,ORE,TE,36,379,10.5,33,3
Bucky Irving,ORE,RB,48,379,7.9,42,2
Anthony Torres,TOL,TE,21,378,18.0,39,2
Corey Crooms Jr.,MINN,WR,28,376,13.4,32,0
Boden Groen,RICE,TE,37,376,10.2,31,3
Bryson Green,WIS,WR,25,375,15.0,54,1
Mekhi Shaw,SDSU,WR,28,375,13.4,69,2
Spencer Curtis,NEV,WR,30,373,12.4,73,1
Jayden Gibson,OU,WR,13,372,28.6,59,5
Makai Jackson,APP,WR,22,371,16.9,67,2
Hamze El-Zayat,EMU,WR,25,370,14.8,50,2
Lorenzo Lingard,AKR,RB,38,368,9.7,77,2
Preston Fox,WVU,WR,26,368,14.2,34,2
Rawson MacNeill,RICE,WR,25,368,14.7,38,2
Germie Bernard,WASH,WR,29,366,12.6,36,1
Dae'Quan Wright,VT,TE,28,366,13.1,39,0
Darius Lassiter,BYU,WR,29,365,12.6,47,4
Kyle Maxwell,LT,WR,20,363,18.1,47,2
Key'Shawn Smith,SMU,WR,22,363,16.5,43,2
Landon Sides,UNT,WR,30,363,12.1,39,4
Jalin Conyers,ASU,TE,30,362,12.1,50,0
Colin Weber,CLT,TE,34,362,10.6,45,0
A.J. Henning,NU,WR,39,361,9.3,41,4
JaQuae Jackson,RUTG,WR,22,361,16.4,61,1
Tre Watson,FRES,TE,35,359,10.3,28,4
Noah Thomas,TA&M,WR,29,359,12.4,34,5
Qian Magwood,BALL,WR,41,358,8.7,32,1
Landon Ransom-Goelz,RICE,WR,24,358,14.9,44,3
Neal Johnson,UL,TE,29,356,12.3,40,5
Ahmad Edwards,BALL,WR,31,354,11.4,57,1
Maliq Carr,MSU,TE,30,354,11.8,36,3
Robert Williams,UL,WR,29,351,12.1,60,4
Isaac TeSlaa,ARK,WR,34,351,10.3,36,2
Michael Brown-Stephens,USF,WR,27,350,13.0,38,2
Tyler Walton,OHIO,WR,37,349,9.4,27,2
Rivaldo Fairweather,AUB,TE,33,349,10.6,53,6
Jack Hestera,CLT,WR,28,349,12.5,37,3
Javon Tracy,M-OH,WR,22,348,15.8,52,2
Stephen Gosnell,VT,WR,22,347,15.8,44,3
Ja'Varrius Johnson,AUB,WR,19,347,18.3,45,3
DJ England-Chisolm,MTSU,WR,28,347,12.4,72,3
Eli Stowers,NMSU,QB,32,346,10.8,32,2
Ayir Asante,WYO,WR,20,346,17.3,66,6
Joseph Griffin Jr.,BC,WR,25,345,13.8,38,1
Joe Wilkins Jr.,M-OH,WR,25,343,13.7,49,1
Eric Rivers,FIU,WR,32,343,10.7,48,2
Jsi Hatfield,ECU,WR,27,341,12.6,39,1
Joseph Scates,MEM,WR,30,339,11.3,54,5
Al'vonte Woodard,SHSU,WR,31,339,10.9,26,2
Cade McDonald,M-OH,WR,26,339,13.0,42,3
Wesley Grimes,WAKE,WR,20,339,17.0,49,4
Dominick Blaylock,GT,WR,21,337,16.0,53,2
Jalen McMillan,WASH,WR,25,337,13.5,39,3
D.J. Washington,UNM,WR,29,336,11.6,35,3
Marquis Johnson,MIZ,WR,12,333,27.8,76,3
Jared Roznos,AFA,WR,11,332,30.2,84,2
Dalton Stroman,APP,WR,17,331,19.5,77,3
Abdur-Rahmaan Yaseen,PUR,WR,25,329,13.2,30,0
Jack Westover,WASH,TE,34,328,9.6,28,4
Chimere Dike,WIS,WR,19,328,17.3,41,1
Koby Drake,MEM,WR,31,328,10.6,24,2
Gavin Bartholomew,PITT,TE,18,326,18.1,60,1
Eli Heidenreich,NAVY,RB,15,326,21.7,69,4
Theo Johnson,PSU,TE,32,325,10.2,34,6
Dominick Mazotti,SJSU,TE,23,322,14.0,44,2
Koali Nishigaya,HAW,WR,39,322,8.3,29,1
Kevin Coleman,LOU,WR,22,321,14.6,58,2
Traeshon Holden,ORE,WR,31,320,10.3,60,4
Benjamin Brahmer,ISU,TE,26,320,12.3,48,2
Jordan Kerley,SMU,WR,18,319,17.7,59,2
Kacper Rutkiewicz,NIU,WR,21,319,15.2,64,2
Anthony Sambucci,WMU,WR,21,318,15.1,64,5
Ray Davis,UK,RB,29,317,10.9,58,7
Roderick Daniels Jr.,SMU,WR,19,317,16.7,91,4
Blake Bosma,WMU,TE,19,317,16.7,58,2
Grayson Barnes,NIU,WR,18,317,17.6,58,4
Daejon Reynolds,PITT,WR,28,316,11.3,31,0
John Michael Gyllenborg,WYO,TE,19,316,16.6,89,3
Xavier Townsend,UCF,WR,31,316,10.2,37,3
Jjay Mcafee,GASO,TE,32,316,9.9,32,3
Jalen Bracey,FIU,WR,31,316,10.2,45,1
Caden Prieskorn,MISS,TE,20,313,15.6,35,2
Dino Tomlin,BC,WR,24,312,13.0,52,0
Trey Knox,SC,TE,37,312,8.4,22,2
Zachariah Branch,USC,WR,29,311,10.7,36,2
Billy Kemp IV,NEB,WR,35,310,8.9,34,1
Caleb Coombs,MRSH,WR,39,310,7.9,24,2
Coy Eakin,TTU,WR,29,310,10.7,43,1
Harvey Broussard,UL,WR,23,310,13.5,51,2
Christian Leary,GT,WR,25,309,12.4,44,2
Donovan Brown,SYR,WR,25,309,12.4,86,1
Isaiah Washington,RUTG,WR,24,307,12.8,42,1
Duce Robinson,USC,WR,15,307,20.5,71,1
Eli Wilson,APP,TE,29,306,10.6,32,5
Michael Wiley,ARIZ,RB,28,306,10.9,40,5
Zack Dobson,MTSU,WR,21,305,14.5,72,2
Ahmari Huggins-Bruce,LOU,WR,19,305,16.1,55,4
Mario Williams,USC,WR,29,305,10.5,29,2
Amari Niblack,ALA,TE,18,304,16.9,39,4
Boobie Curry,BUFF,WR,29,303,10.4,48,1
Charles Ross,SJSU,WR,23,300,13.0,35,1
Jay Fair,AUB,WR,30,300,10.0,36,2
Marion Lukes,CMU,RB,29,300,10.3,44,0
Erick All,IOWA,TE,21,299,14.2,34,3
Dylan Edwards,COLO,RB,36,299,8.3,75,4
Dylan Goffney,CSU,WR,23,298,13.0,42,2
Jameel Gardner Jr.,KENT,WR,24,298,12.4,50,1
Kaleo Ballungay,UNLV,TE,16,297,18.6,84,2
Skyler Bell,WIS,WR,38,297,7.8,30,1
Tyler Warren,PSU,TE,29,295,10.2,23,7
Tanner Koziol,BALL,TE,34,295,8.7,26,3
Austin Osborne,BGSU,WR,28,294,10.5,42,0
Cole Harrity,BUFF,WR,35,294,8.4,29,3
Junior Sherrill,VAN,WR,20,293,14.6,52,3
Sean Brown,JVST,TE,18,292,16.2,58,5
Bugs Mortimer,ULM,WR,15,291,19.4,54,0
Montana Lemonious-Craig,ARIZ,WR,27,291,10.8,39,3
Brionne Penny,SDSU,WR,24,290,12.1,36,1
Gino Campiotti,MASS,TE,21,289,13.8,30,4
Money Parks,UTAH,WR,30,289,9.6,70,2
Arlis Boardingham,FLA,TE,26,289,11.1,25,4
Tre Mosley,MSU,WR,28,288,10.3,30,2
Sam Roush,STAN,TE,28,288,10.3,31,0
Roman Hemby,MD,RB,37,288,7.8,37,3
Jordan Smith,TEM,TE,25,287,11.5,25,4
Treyton Welch,WYO,TE,27,286,10.6,32,2
Jonathon Brooks,TEX,RB,25,286,11.4,73,1
Cameron Skattebo,ASU,RB,24,286,11.9,66,1
DJ Giddens,KSU,RB,28,286,10.2,61,2
Cam Camper,IU,WR,17,285,16.8,41,1
Tobias Merriweather,ND,WR,14,284,20.3,75,2
Michael Harrison,COLO,TE,31,284,9.2,25,5
Tru Edwards,LT,WR,23,284,12.3,36,2
Marquis Shoulders,TLSA,WR,16,283,17.7,80,5
Milan Tucker,APP,WR,20,282,14.1,69,1
Kobe Paysour,UNC,WR,22,282,12.8,77,3
Jonah Coleman,ARIZ,RB,23,282,12.3,69,1
Kobe Prentice,ALA,WR,16,282,17.6,79,2
E.J. Williams Jr.,IU,WR,23,281,12.2,27,0
Oscar Cardenas,UTSA,TE,32,280,8.8,28,2
John Copenhaver,UNC,TE,18,279,15.5,40,4
Troy Stellato,CLEM,WR,34,279,8.2,18,1
Jayden Harrison,MRSH,WR,22,278,12.6,35,1
Je'Quan Burton,FAU,WR,24,277,11.5,39,2
Jaden Alexis,USF,WR,22,277,12.6,60,2
Moose Muhammad III,TA&M,WR,24,277,11.5,49,2
Stephon Johnson,HOU,WR,24,277,11.5,49,3
Alex Perry,HAW,WR,24,277,11.5,38,3
Dorian Singer,USC,WR,23,276,12.0,44,3
Ismail Mahdi,TXST,RB,18,276,15.3,89,1
Anthony Queeley,GASO,WR,28,275,9.8,18,3
Chris Bellamy,NMSU,WR,16,274,17.1,52,1
Larry Stephens,TOL,WR,22,272,12.4,28,2
Ollie Gordon II,OKST,RB,33,272,8.2,50,1
Julian Fleming,OSU,WR,26,271,10.4,37,0
Billy Bowens,BOIS,WR,21,269,12.8,52,1
Austin Hence,WMU,TE,25,269,10.8,32,3
John Jackson III,NEV,WR,35,267,7.6,33,0
Omar Cooper Jr.,IU,WR,18,267,14.8,35,2
Moliki Matavao,UCLA,TE,12,266,22.2,35,2
Isaiah Alston,ARMY,WR,9,266,29.6,70,2
Fred Farrier II,UAB,WR,18,266,14.8,67,1
Zach Horton,JMU,TE,26,266,10.2,66,6
McCallan Castles,TENN,TE,21,265,12.6,43,4
Ahmarean Brown,SC,WR,26,265,10.2,44,1
Quali Conley,SJSU,RB,25,264,10.6,61,0
Senika McKie,UNLV,WR,19,264,13.9,28,0
Noah Frith,LIB,WR,12,263,21.9,55,2
Andrew Erickson,UNM,WR,20,263,13.1,52,1
Brashard Smith,MIA,WR,22,263,12.0,54,2
River Helms,WKU,TE,17,263,15.5,63,3
Dalton Carnes,HOU,WR,20,263,13.1,41,1
Lake McRee,USC,TE,26,262,10.1,31,1
Jamaal Bell,NEV,WR,32,262,8.2,77,1
John Gentry,SHSU,RB,35,261,7.5,56,2
Jaron Glover,MSU,WR,14,261,18.6,33,0
Mikey Matthews,UTAH,WR,29,261,9.0,40,0
Baylin Brooks,SDSU,WR,15,261,17.4,37,1
Tauskie Dove,MEM,WR,17,260,15.3,54,1
Thomas Fidone II,NEB,TE,25,260,10.4,29,4
Mason Taylor,LSU,TE,29,260,9.0,22,1
Carnell Tate,OSU,WR,17,260,15.3,55,1
Kody Epps,BYU,WR,21,259,12.3,30,0
Chamon Metayer,CIN,TE,23,258,11.2,35,5
