Player,School,POS,ATT,YDS,AVG,LNG,TD
Dylan McDuffie,KU,RB,41,227,5.5,36,4
Brian Battie,AUB,RB,51,227,4.5,24,1
Mason Garcia,ECU,QB,50,227,4.5,57,2
Cam Davis,SDSU,RB,52,225,4.3,25,0
Avery Johnson,KSU,QB,45,225,5.0,30,6
Anthony Colandrea,UVA,QB,73,225,3.1,30,0
Marco Lee Jr.,USA,RB,53,220,4.2,13,2
Bert Emanuel Jr.,CMU,QB,50,220,4.4,66,2
DJ Uiagalelei,ORST,QB,68,219,3.2,26,6
Kurtis Rourke,OHIO,QB,67,219,3.3,25,4
Davion Ervin-Poindexter,WKU,RB,57,217,3.8,18,1
Robby Ashford,AUB,QB,46,217,4.7,21,5
Anthony Tyus III,NU,RB,45,217,4.8,39,1
E.J. Smith,STAN,RB,53,216,4.1,34,1
DJ Irons,AKR,QB,61,215,3.5,47,2
Casey Filkins,STAN,RB,38,215,5.7,59,1
CJ Ogbonna,BUFF,QB,51,214,4.2,15,3
Eli Heidenreich,NAVY,RB,27,214,7.9,46,1
Chevan Cordeiro,SJSU,QB,74,213,2.9,28,3
Reese White,CCU,RB,68,212,3.1,14,2
Shadrick Byrd,CLT,RB,60,211,3.5,18,0
Dylan Downing,PUR,RB,48,211,4.4,25,1
Max Balthazar,CCU,RB,41,211,5.1,34,2
Maurice Turner,LOU,RB,49,210,4.3,30,1
Raheim Sanders,ARK,RB,62,209,3.4,19,2
Hayden Reed,ARMY,RB,50,205,4.1,27,2
Camden Orth,BGSU,QB,64,204,3.2,18,5
Hudson Card,PUR,QB,93,203,2.2,25,5
Isaiah Augustave,ARK,RB,35,202,5.8,25,1
Ashton Stredick,CAL,RB,42,200,4.8,41,2
Cardell Williams,TLSA,QB,57,200,3.5,50,5
K'Wan Powell,USF,RB,56,199,3.6,27,1
Preston Stone,SMU,QB,62,198,3.2,34,4
Jordan Johnson,HAW,RB,34,198,5.8,28,0
Jaden Nixon,OKST,RB,50,197,3.9,34,1
Jaziun Patterson,IOWA,RB,55,197,3.6,59,2
Gabe Ervin Jr.,NEB,RB,38,196,5.2,27,1
Zylan Perry,UL,RB,50,195,3.9,19,2
Cade Klubnik,CLEM,QB,110,194,1.8,22,4
Sy'veon Wilkerson,COLO,RB,53,190,3.6,11,3
Jeff Sims,NEB,QB,42,189,4.5,57,1
Will Nixon,WASH,RB,30,189,6.3,21,1
Alex Flinn,ECU,QB,96,188,2.0,21,0
Tahj Gary,TLSA,RB,33,187,5.7,40,2
Levi Williams,USU,QB,36,186,5.2,29,3
AJ Bianco,NEV,QB,42,183,4.4,28,1
Blake Horvath,NAVY,QB,37,183,4.9,29,0
Tyrell Robinson,ARMY,RB,38,182,4.8,25,2
J.J. McCarthy,MICH,QB,51,181,3.5,22,3
Aveon Smith,M-OH,QB,54,181,3.4,48,1
Rodney Hill,FSU,RB,47,181,3.9,19,1
Devin Roche,ODU,RB,30,181,6.0,37,0
Kalel Mullings,MICH,RB,29,180,6.2,23,1
Chubba Purdy,NEB,QB,29,180,6.2,55,1
Chandler Rogers,UNT,QB,109,180,1.7,75,4
Mike Franklin,UTEP,RB,45,180,4.0,21,3
Kenyon Clay,USM,RB,40,179,4.5,28,1
Samuel Brown V,RUTG,RB,53,178,3.4,11,2
Trey Sanders,TCU,RB,48,176,3.7,18,6
Jordan Travis,FSU,QB,73,176,2.4,20,7
Trayvon Rudolph,NIU,WR,20,176,8.8,36,1
Ramon Jefferson,UK,RB,24,175,7.3,74,0
Braylon Braxton,TLSA,QB,40,174,4.3,46,0
Henry Rutledge,CLT,RB,15,174,11.6,55,0
Braxton Woodson,NAVY,QB,53,173,3.3,69,1
Ja'shon Benjamin,RUTG,RB,45,172,3.8,26,1
Tai Lavatai,NAVY,QB,56,171,3.1,20,2
Tony Mathis Jr.,HOU,RB,41,170,4.1,23,0
Drew Allar,PSU,QB,69,170,2.5,21,4
Jacob Zeno,UAB,QB,91,168,1.8,44,4
Jeremiah Cobb,AUB,RB,30,168,5.6,42,1
Dominique Johnson,ARK,RB,31,167,5.4,41,1
Jam Miller,ALA,RB,31,167,5.4,45,1
Juwaun Price,SYR,RB,47,166,3.5,22,0
Jadarian Price,ND,RB,34,166,4.9,23,2
Durell Robinson,CLT,RB,40,166,4.2,16,1
